result_type,projection_scope,setup_reuse_assumption,contract_id,method,Q,budget_paths_per_valuation,pricing_observations,pricing_simulated_paths,training_paths,pilot_paths,shared_paths,setup_paths_counted_once,paths_per_pricing_observation,pricing_independent_random_vectors_per_valuation,setup_independent_random_vectors_counted_once,total_independent_random_vectors,pricing_payoff_evaluations_per_valuation,total_payoff_evaluations,validation_paths,total_paths_used,feasible,failure_reason,total_budget_paths,budget_constraint_satisfied,projected_estimator_standard_error
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_low,AV,10,50000,25000,50000,0,0,0,0,2,25000,0,250000,50000,500000,0,500000,True,,500000,True,0.008831845460162514
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_low,GCV,10,50000,49900,49900,0,1000,0,1000,1,49900,1000,500000,49900,500000,0,500000,True,,500000,True,0.0013037385158404555
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_low,NCV_SCRATCH,10,50000,48000,48000,20000,0,0,20000,1,48000,20000,500000,48000,500000,0,500000,True,,500000,True,0.0023096147537253636
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_low,NCV_TRANSFER_BETA1,10,50000,48000,48000,0,0,20000,20000,1,48000,20000,500000,48000,500000,0,500000,True,,500000,True,0.023216221597175513
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_low,NCV_TRANSFER_BETA,10,50000,47900,47900,0,1000,20000,21000,1,47900,21000,500000,47900,500000,0,500000,True,,500000,True,0.020497460440838326
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_high,MC,10,50000,50000,50000,0,0,0,0,1,50000,0,500000,50000,500000,0,500000,True,,500000,True,0.011208627336765083
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_high,AV,10,50000,25000,50000,0,0,0,0,2,25000,0,250000,50000,500000,0,500000,True,,500000,True,0.010952840657396937
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_high,GCV,10,50000,49900,49900,0,1000,0,1000,1,49900,1000,500000,49900,500000,0,500000,True,,500000,True,0.0007935177701711431
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_high,NCV_SCRATCH,10,50000,48000,48000,20000,0,0,20000,1,48000,20000,500000,48000,500000,0,500000,True,,500000,True,0.0007946397993598187
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_high,NCV_TRANSFER_BETA1,10,50000,48000,48000,0,0,20000,20000,1,48000,20000,500000,48000,500000,0,500000,True,,500000,True,0.029977918515936463
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_high,NCV_TRANSFER_BETA,10,50000,47900,47900,0,1000,20000,21000,1,47900,21000,500000,47900,500000,0,500000,True,,500000,True,0.008437579581091623
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_low,MC,10,50000,50000,50000,0,0,0,0,1,50000,0,500000,50000,500000,0,500000,True,,500000,True,0.018921353427329455
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_low,AV,10,50000,25000,50000,0,0,0,0,2,25000,0,250000,50000,500000,0,500000,True,,500000,True,0.010597300236840624
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_low,GCV,10,50000,49900,49900,0,1000,0,1000,1,49900,1000,500000,49900,500000,0,500000,True,,500000,True,0.0002776371461563603
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_low,NCV_SCRATCH,10,50000,48000,48000,20000,0,0,20000,1,48000,20000,500000,48000,500000,0,500000,True,,500000,True,0.0002542118796523785
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_low,NCV_TRANSFER_BETA1,10,50000,48000,48000,0,0,20000,20000,1,48000,20000,500000,48000,500000,0,500000,True,,500000,True,0.017521457797540035
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_low,NCV_TRANSFER_BETA,10,50000,47900,47900,0,1000,20000,21000,1,47900,21000,500000,47900,500000,0,500000,True,,500000,True,0.0027351134178345434
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_high,MC,10,50000,50000,50000,0,0,0,0,1,50000,0,500000,50000,500000,0,500000,True,,500000,True,0.09522043177218106
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_high,AV,10,50000,25000,50000,0,0,0,0,2,25000,0,250000,50000,500000,0,500000,True,,500000,True,0.07742767485393319
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_high,GCV,10,50000,49900,49900,0,1000,0,1000,1,49900,1000,500000,49900,500000,0,500000,True,,500000,True,0.006651588800064118
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_high,NCV_SCRATCH,10,50000,48000,48000,20000,0,0,20000,1,48000,20000,500000,48000,500000,0,500000,True,,500000,True,0.0038746313296975617
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_high,NCV_TRANSFER_BETA1,10,50000,48000,48000,0,0,20000,20000,1,48000,20000,500000,48000,500000,0,500000,True,,500000,True,0.06185479437028379
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_high,NCV_TRANSFER_BETA,10,50000,47900,47900,0,1000,20000,21000,1,47900,21000,500000,47900,500000,0,500000,True,,500000,True,0.01921091506395345
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,maturity_short,MC,10,50000,50000,50000,0,0,0,0,1,50000,0,500000,50000,500000,0,500000,True,,500000,True,0.02430947838217509
