contract_id,method,Q,declared_budget_paths,shared_reference_training_paths_per_valuation,pilot_paths,target_training_paths,pricing_observations,pricing_simulated_paths,total_used_paths,feasible,infeasible_reason,estimated_observation_variance,estimated_estimator_variance,estimated_standard_error
volatility_low,NCV_SCRATCH,50,10000,0,0,10000,0,0,10000,False,remaining budget does not permit at least 2 pricing observations,,nan,nan
volatility_low,NCV_TRANSFER_BETA1,50,10000,200,0,0,9800,9800,10000,True,,,nan,nan
volatility_low,NCV_TRANSFER_BETA,50,10000,200,2000,0,7800,7800,10000,True,,,nan,nan
volatility_low,MC,100,10000,0,0,0,10000,10000,10000,True,,17.877465730602992,0.0017877465730602993,0.04228175224680618
volatility_low,AV,100,10000,0,0,0,5000,10000,10000,True,,2.81136214988398,0.000562272429976796,0.023712284368588278
volatility_low,GCV,100,10000,0,2000,0,8000,8000,10000,True,,0.003779241936504669,4.724052420630836e-07,0.0006873174245303865
volatility_low,NCV_SCRATCH,100,10000,0,0,10000,0,0,10000,False,remaining budget does not permit at least 2 pricing observations,,nan,nan
volatility_low,NCV_TRANSFER_BETA1,100,10000,100,0,0,9900,9900,10000,True,,,nan,nan
volatility_low,NCV_TRANSFER_BETA,100,10000,100,2000,0,7900,7900,10000,True,,,nan,nan
volatility_low,MC,250,10000,0,0,0,10000,10000,10000,True,,17.877465730602992,0.0017877465730602993,0.04228175224680618
volatility_low,AV,250,10000,0,0,0,5000,10000,10000,True,,2.81136214988398,0.000562272429976796,0.023712284368588278
volatility_low,GCV,250,10000,0,2000,0,8000,8000,10000,True,,0.003779241936504669,4.724052420630836e-07,0.0006873174245303865
volatility_low,NCV_SCRATCH,250,10000,0,0,10000,0,0,10000,False,remaining budget does not permit at least 2 pricing observations,,nan,nan
volatility_low,NCV_TRANSFER_BETA1,250,10000,40,0,0,9960,9960,10000,True,,,nan,nan
volatility_low,NCV_TRANSFER_BETA,250,10000,40,2000,0,7960,7960,10000,True,,,nan,nan
volatility_low,MC,500,10000,0,0,0,10000,10000,10000,True,,17.877465730602992,0.0017877465730602993,0.04228175224680618
volatility_low,AV,500,10000,0,0,0,5000,10000,10000,True,,2.81136214988398,0.000562272429976796,0.023712284368588278
volatility_low,GCV,500,10000,0,2000,0,8000,8000,10000,True,,0.003779241936504669,4.724052420630836e-07,0.0006873174245303865
volatility_low,NCV_SCRATCH,500,10000,0,0,10000,0,0,10000,False,remaining budget does not permit at least 2 pricing observations,,nan,nan
volatility_low,NCV_TRANSFER_BETA1,500,10000,20,0,0,9980,9980,10000,True,,,nan,nan
volatility_low,NCV_TRANSFER_BETA,500,10000,20,2000,0,7980,7980,10000,True,,,nan,nan
volatility_low,MC,1000,10000,0,0,0,10000,10000,10000,True,,17.877465730602992,0.0017877465730602993,0.04228175224680618
volatility_low,AV,1000,10000,0,0,0,5000,10000,10000,True,,2.81136214988398,0.000562272429976796,0.023712284368588278
volatility_low,GCV,1000,10000,0,2000,0,8000,8000,10000,True,,0.003779241936504669,4.724052420630836e-07,0.0006873174245303865
volatility_low,NCV_SCRATCH,1000,10000,0,0,10000,0,0,10000,False,remaining budget does not permit at least 2 pricing observations,,nan,nan
volatility_low,NCV_TRANSFER_BETA1,1000,10000,10,0,0,9990,9990,10000,True,,,nan,nan
volatility_low,NCV_TRANSFER_BETA,1000,10000,10,2000,0,7990,7990,10000,True,,,nan,nan
volatility_high,MC,1,10000,0,0,0,10000,10000,10000,True,,450.9438861142884,0.04509438861142884,0.21235439390657504
volatility_high,AV,1,10000,0,0,0,5000,10000,10000,True,,148.19104429282672,0.029638208858565343,0.17215751176920902
volatility_high,GCV,1,10000,0,2000,0,8000,8000,10000,True,,2.146834646192317,0.0002683543307740396,0.016381524067498713
volatility_high,NCV_SCRATCH,1,10000,0,0,10000,0,0,10000,False,remaining budget does not permit at least 2 pricing observations,,nan,nan
