replication,monitoring_dates,ncv_epoch,trajectory_id,training_data_generation_runtime_s,optimizer_cumulative_training_runtime_s,ncv_setup_cost_s,gcv_setup_cost_s,gcv_marginal_pricing_runtime_s,ncv_marginal_pricing_runtime_50000_s,ncv_marginal_pricing_runtime_matched_measured_s,ncv_marginal_pricing_runtime_matched_projected_s,break_even_q,break_even_failure_reason
15,252,1000,rep15_m252,1.3330000001587905e-06,15.149552552999921,15.149553885999921,0.00013141699992047506,0.394257793999941,0.33983554800011007,NA,1.8764495552593277,NA,proposed_marginal_not_below_baseline_no_finite_break_even
16,12,25,rep16_m12,9.020000106829684e-07,0.27052455600005487,0.27052545800006556,0.00012991400012651866,0.026717920999999478,0.0265779679998559,0.05039085700013857,0.06006142364543436,NA,proposed_marginal_not_below_baseline_no_finite_break_even
16,12,1000,rep16_m12,9.020000106829684e-07,10.793924235000077,10.793925137000087,0.00012991400012651866,0.02680590599993593,0.025618264000058844,0.004044962999842028,0.0015565657206435754,475,
16,252,25,rep16_m252,1.0520000159885967e-06,0.3938851610000711,0.3938862130000871,0.00013683700012734334,0.39452165199986666,0.33930306700017354,NA,1.8623531020278725,NA,proposed_marginal_not_below_baseline_no_finite_break_even
16,252,1000,rep16_m252,1.0520000159885967e-06,15.140679206000186,15.140680258000202,0.00013683700012734334,0.3927836049999769,0.3384079439999823,NA,2.5882454780950646,NA,proposed_marginal_not_below_baseline_no_finite_break_even
17,12,25,rep17_m12,1.1120000635855831e-06,0.2715689280000788,0.2715700400001424,0.0001367669999581267,0.026528434000056222,0.02434910699980719,0.04475507300003301,0.046710352904150126,NA,proposed_marginal_not_below_baseline_no_finite_break_even
17,12,1000,rep17_m12,1.1120000635855831e-06,10.743941255999971,10.743942368000035,0.0001367669999581267,0.02672612600008506,0.02344232300015392,0.0015628370001650183,0.0013329304857887519,427,
17,252,25,rep17_m252,8.720001005713129e-07,0.395079811999949,0.3950806840000496,0.00016462899998259672,0.39407125999991877,0.3408055089998925,NA,2.0145081798085442,NA,proposed_marginal_not_below_baseline_no_finite_break_even
17,252,1000,rep17_m252,8.720001005713129e-07,15.126705197000092,15.126706069000193,0.00016462899998259672,0.3964456829999108,0.3400603840000258,NA,1.8653468267707014,NA,proposed_marginal_not_below_baseline_no_finite_break_even
18,12,25,rep18_m12,7.609999101987341e-07,0.2683717039999465,0.2683724649998567,0.0001426779999746941,0.026684687000170015,0.02657974099997773,0.043280591999973694,0.04845167827403941,NA,proposed_marginal_not_below_baseline_no_finite_break_even
18,12,1000,rep18_m12,7.609999101987341e-07,10.685731975999943,10.685732736999853,0.0001426779999746941,0.026831953999817415,0.025359646999959295,0.0037732929999947373,0.001088943242178252,464,
18,252,25,rep18_m252,1.112999825636507e-06,0.3979290869999659,0.3979301999997915,0.0001373090001379751,0.3951321439999447,0.34181779199980156,NA,1.9209954819713646,NA,proposed_marginal_not_below_baseline_no_finite_break_even
