base_seed,replication,contract_id,K,sigma,T,method,pricing_seed,pilot_seed,target_training_seed,error
42,16,maturity_long,100.0,0.2,2.0,NCV_TRANSFER_BETA,1605642,1604642,1603642,torch_not_available
42,17,strike_low,80.0,0.2,1.0,NCV_TRANSFER_BETA1,1705142,1704142,1703142,torch_not_available
42,17,strike_low,80.0,0.2,1.0,NCV_TRANSFER_BETA,1705142,1704142,1703142,torch_not_available
42,17,strike_high,120.0,0.2,1.0,NCV_TRANSFER_BETA1,1705242,1704242,1703242,torch_not_available
42,17,strike_high,120.0,0.2,1.0,NCV_TRANSFER_BETA,1705242,1704242,1703242,torch_not_available
42,17,volatility_low,100.0,0.1,1.0,NCV_TRANSFER_BETA1,1705342,1704342,1703342,torch_not_available
42,17,volatility_low,100.0,0.1,1.0,NCV_TRANSFER_BETA,1705342,1704342,1703342,torch_not_available
42,17,volatility_high,100.0,0.5,1.0,NCV_TRANSFER_BETA1,1705442,1704442,1703442,torch_not_available
42,17,volatility_high,100.0,0.5,1.0,NCV_TRANSFER_BETA,1705442,1704442,1703442,torch_not_available
42,17,maturity_short,100.0,0.2,0.5,NCV_TRANSFER_BETA1,1705542,1704542,1703542,torch_not_available
42,17,maturity_short,100.0,0.2,0.5,NCV_TRANSFER_BETA,1705542,1704542,1703542,torch_not_available
42,17,maturity_long,100.0,0.2,2.0,NCV_TRANSFER_BETA1,1705642,1704642,1703642,torch_not_available
42,17,maturity_long,100.0,0.2,2.0,NCV_TRANSFER_BETA,1705642,1704642,1703642,torch_not_available
42,18,strike_low,80.0,0.2,1.0,NCV_TRANSFER_BETA1,1805142,1804142,1803142,torch_not_available
42,18,strike_low,80.0,0.2,1.0,NCV_TRANSFER_BETA,1805142,1804142,1803142,torch_not_available
42,18,strike_high,120.0,0.2,1.0,NCV_TRANSFER_BETA1,1805242,1804242,1803242,torch_not_available
42,18,strike_high,120.0,0.2,1.0,NCV_TRANSFER_BETA,1805242,1804242,1803242,torch_not_available
42,18,volatility_low,100.0,0.1,1.0,NCV_TRANSFER_BETA1,1805342,1804342,1803342,torch_not_available
42,18,volatility_low,100.0,0.1,1.0,NCV_TRANSFER_BETA,1805342,1804342,1803342,torch_not_available
42,18,volatility_high,100.0,0.5,1.0,NCV_TRANSFER_BETA1,1805442,1804442,1803442,torch_not_available
42,18,volatility_high,100.0,0.5,1.0,NCV_TRANSFER_BETA,1805442,1804442,1803442,torch_not_available
42,18,maturity_short,100.0,0.2,0.5,NCV_TRANSFER_BETA1,1805542,1804542,1803542,torch_not_available
42,18,maturity_short,100.0,0.2,0.5,NCV_TRANSFER_BETA,1805542,1804542,1803542,torch_not_available
42,18,maturity_long,100.0,0.2,2.0,NCV_TRANSFER_BETA1,1805642,1804642,1803642,torch_not_available
42,18,maturity_long,100.0,0.2,2.0,NCV_TRANSFER_BETA,1805642,1804642,1803642,torch_not_available
42,19,strike_low,80.0,0.2,1.0,NCV_TRANSFER_BETA1,1905142,1904142,1903142,torch_not_available
42,19,strike_low,80.0,0.2,1.0,NCV_TRANSFER_BETA,1905142,1904142,1903142,torch_not_available
42,19,strike_high,120.0,0.2,1.0,NCV_TRANSFER_BETA1,1905242,1904242,1903242,torch_not_available
42,19,strike_high,120.0,0.2,1.0,NCV_TRANSFER_BETA,1905242,1904242,1903242,torch_not_available
42,19,volatility_low,100.0,0.1,1.0,NCV_TRANSFER_BETA1,1905342,1904342,1903342,torch_not_available
42,19,volatility_low,100.0,0.1,1.0,NCV_TRANSFER_BETA,1905342,1904342,1903342,torch_not_available
42,19,volatility_high,100.0,0.5,1.0,NCV_TRANSFER_BETA1,1905442,1904442,1903442,torch_not_available
42,19,volatility_high,100.0,0.5,1.0,NCV_TRANSFER_BETA,1905442,1904442,1903442,torch_not_available
42,19,maturity_short,100.0,0.2,0.5,NCV_TRANSFER_BETA1,1905542,1904542,1903542,torch_not_available
42,19,maturity_short,100.0,0.2,0.5,NCV_TRANSFER_BETA,1905542,1904542,1903542,torch_not_available
42,19,maturity_long,100.0,0.2,2.0,NCV_TRANSFER_BETA1,1905642,1904642,1903642,torch_not_available
42,19,maturity_long,100.0,0.2,2.0,NCV_TRANSFER_BETA,1905642,1904642,1903642,torch_not_available
42,20,strike_low,80.0,0.2,1.0,NCV_TRANSFER_BETA1,2005142,2004142,2003142,torch_not_available
42,20,strike_low,80.0,0.2,1.0,NCV_TRANSFER_BETA,2005142,2004142,2003142,torch_not_available
42,20,strike_high,120.0,0.2,1.0,NCV_TRANSFER_BETA1,2005242,2004242,2003242,torch_not_available
42,20,strike_high,120.0,0.2,1.0,NCV_TRANSFER_BETA,2005242,2004242,2003242,torch_not_available
42,20,volatility_low,100.0,0.1,1.0,NCV_TRANSFER_BETA1,2005342,2004342,2003342,torch_not_available
42,20,volatility_low,100.0,0.1,1.0,NCV_TRANSFER_BETA,2005342,2004342,2003342,torch_not_available
42,20,volatility_high,100.0,0.5,1.0,NCV_TRANSFER_BETA1,2005442,2004442,2003442,torch_not_available
42,20,volatility_high,100.0,0.5,1.0,NCV_TRANSFER_BETA,2005442,2004442,2003442,torch_not_available
42,20,maturity_short,100.0,0.2,0.5,NCV_TRANSFER_BETA1,2005542,2004542,2003542,torch_not_available
42,20,maturity_short,100.0,0.2,0.5,NCV_TRANSFER_BETA,2005542,2004542,2003542,torch_not_available
42,20,maturity_long,100.0,0.2,2.0,NCV_TRANSFER_BETA1,2005642,2004642,2003642,torch_not_available
