replication,contract_id,method,phase,runtime_s,timing_repetition_index
17,volatility_high,AV,pricing,0.09993103299996164,1
17,volatility_high,GCV,pilot,0.01271761099997093,1
17,volatility_high,GCV,pricing,0.04839516700008062,1
17,maturity_short,MC,pricing,0.06442518699998345,1
17,maturity_short,AV,pricing,0.09915849099991192,1
17,maturity_short,GCV,pilot,0.012415747999966698,1
17,maturity_short,GCV,pricing,0.048986169000045265,1
17,maturity_long,MC,pricing,0.06426497799998288,1
17,maturity_long,AV,pricing,0.09949686300001304,1
17,maturity_long,GCV,pilot,0.011813355000072079,1
17,maturity_long,GCV,pricing,0.049230915999942226,1
18,reference,MC,pricing,0.06375394399992729,1
18,reference,AV,pricing,0.09895362000008845,1
18,reference,GCV,pilot,0.011922708999918541,1
18,reference,GCV,pricing,0.04788513599999078,1
18,strike_low,MC,pricing,0.06361730000003263,1
18,strike_low,AV,pricing,0.09880660600003921,1
18,strike_low,GCV,pilot,0.01244860899998912,1
18,strike_low,GCV,pricing,0.04865094500007672,1
18,strike_high,MC,pricing,0.06344757299996218,1
18,strike_high,AV,pricing,0.0993273850000378,1
18,strike_high,GCV,pilot,0.012379830999975638,1
18,strike_high,GCV,pricing,0.048779493999973056,1
18,volatility_low,MC,pricing,0.06404180200001974,1
18,volatility_low,AV,pricing,0.099485510999898,1
18,volatility_low,GCV,pilot,0.01209327599997323,1
18,volatility_low,GCV,pricing,0.04916285000001608,1
18,volatility_high,MC,pricing,0.06397153099999286,1
18,volatility_high,AV,pricing,0.09886444400001437,1
18,volatility_high,GCV,pilot,0.011714288999996825,1
18,volatility_high,GCV,pricing,0.0486164800000779,1
18,maturity_short,MC,pricing,0.06640135500003908,1
18,maturity_short,AV,pricing,0.10347104599998147,1
18,maturity_short,GCV,pilot,0.011954898999988472,1
18,maturity_short,GCV,pricing,0.048129992999975,1
18,maturity_long,MC,pricing,0.06399274999989757,1
18,maturity_long,AV,pricing,0.09920825500000774,1
18,maturity_long,GCV,pilot,0.012073720000103094,1
18,maturity_long,GCV,pricing,0.04857820899997023,1
19,reference,MC,pricing,0.06458750000001601,1
19,reference,AV,pricing,0.09999354000001404,1
19,reference,GCV,pilot,0.012159751000012875,1
19,reference,GCV,pricing,0.04836592300000575,1
19,strike_low,MC,pricing,0.06393547400000443,1
19,strike_low,AV,pricing,0.0993940510001039,1
